CENSO;Regional;Munic¡pio;Nome;email
33029164;BAIXADAS LITORANEAS;SAQUAREMA;CE DUCLER LAUREANO MATOS;ceduclerlaureanomatos@educacao.rj.gov.br
33044325;BAIXADAS LITORANEAS;RIO BONITO;CE JOSE MATOSO MAIA FORTE;cejosematosomaiaforte@educacao.rj.gov.br
33044333;BAIXADAS LITORANEAS;RIO BONITO;CE DESEMBARGADOR JOSE AUGUSTO COELHO ROCHA JUNIOR;cedja@educacao.rj.gov.br
33044368;BAIXADAS LITORANEAS;RIO BONITO;CE ANTONIO LOPES DE CAMPOS FILHO;ceantoniolopescamposfilho@educacao.rj.gov.br
33044384;BAIXADAS LITORANEAS;RIO BONITO;CE BARAO DO RIO BRANCO;cebaraodoriobranco@educacao.rj.gov.br
33044406;BAIXADAS LITORANEAS;RIO BONITO;CE DOUTOR ROBERTO PEREIRA DOS SANTOS;cedrrobertopsantos@educacao.rj.gov.br
33044473;BAIXADAS LITORANEAS;RIO BONITO;CE PROFESSOR DYRCEU RODRIGUES DA COSTA;ceprofdyrceurodriguesdacosta@educacao.rj.gov.br
33044708;BAIXADAS LITORANEAS;RIO BONITO;CE BERNARDINO DA COSTA LOPES;cebernardinodacostalopes@educacao.rj.gov.br
33053910;BAIXADAS LITORANEAS;MARICA;CE ELISIARIO MATTA;cematta@educacao.rj.gov.br
33053952;BAIXADAS LITORANEAS;MARICA;CE DOMICIO DA GAMA;cedomiciodagama@educacao.rj.gov.br
33053995;BAIXADAS LITORANEAS;MARICA;EE PROFESSORA CACILDA SILVA;eeprofcacildasilva@educacao.rj.gov.br
33054177;BAIXADAS LITORANEAS;MARICA;CE DOUTOR JOAO GOMES DE MATTOS SOBRINHO;cedrjoaogomesmattos@educacao.rj.gov.br
33054185;BAIXADAS LITORANEAS;MARICA;CE CAIO FRANCISCO DE FIGUEIREDO;cecaiofranciscodefigueirdo@educacao.rj.gov.br
33054215;BAIXADAS LITORANEAS;MARICA;CE EUCLYDES PAULO DA SILVA;ceeuclydespaulodasilva@educacao.rj.gov.br
33054339;BAIXADAS LITORANEAS;MARICA;CE FRANCISCO JOSE DO NASCIMENTO;cefranciscojosedonascimento@educacao.rj.gov.br
33055467;BAIXADAS LITORANEAS;NITEROI;CIEP 251 DONA MARIA PORTUGAL;ciep251@educacao.rj.gov.br
33055610;BAIXADAS LITORANEAS;NITEROI;CE AURELINO LEAL;ceaurelinoleal@educacao.rj.gov.br
33055629;BAIXADAS LITORANEAS;NITEROI;CE BALTAZAR BERNARDINO;cebaltazarbernadino@educacao.rj.gov.br
33055637;BAIXADAS LITORANEAS;NITEROI;CE BRIGADEIRO CASTRIOTO;cebrigadeirocastrioto@educacao.rj.gov.br
33055645;BAIXADAS LITORANEAS;NITEROI;CE CIZINIO SOARES PINTO;cecsp@educacao.rj.gov.br
33055653;BAIXADAS LITORANEAS;NITEROI;CE CONSELHEIRO MACEDO SOARES;ceconselheiromacedosoares@educacao.rj.gov.br
33055661;BAIXADAS LITORANEAS;NITEROI;CE DOUTOR LUCIANO PESTRE;cedoutorlucianopestre@educacao.rj.gov.br
33055670;BAIXADAS LITORANEAS;NITEROI;CE FERNANDO MAGALHAES;cefernandomagalhaes@educacao.rj.gov.br
33055696;BAIXADAS LITORANEAS;NITEROI;CE GUILHERME BRIGGS;ceguilhermebriggs@educacao.rj.gov.br
33055700;BAIXADAS LITORANEAS;NITEROI;CE HILARIO RIBEIRO;cehilarioribeiro@educacao.rj.gov.br
33055726;BAIXADAS LITORANEAS;NITEROI;CE JOAQUIM TAVORA;cejoaquimtavora@educacao.rj.gov.br
33055734;BAIXADAS LITORANEAS;NITEROI;CE MACHADO DE ASSIS;cemachadodeassis@educacao.rj.gov.br
33055742;BAIXADAS LITORANEAS;NITEROI;CE MULLULO DA VEIGA;cemullulodaveiga@educacao.rj.gov.br
33055750;BAIXADAS LITORANEAS;NITEROI;CE PAULO ASSIS RIBEIRO;cepauloassisribeiro@educacao.rj.gov.br
33055769;BAIXADAS LITORANEAS;NITEROI;CE RAUL VIDAL;ceraulvidal@educacao.rj.gov.br
33055785;BAIXADAS LITORANEAS;NITEROI;CE ZULEIKA RAPOSO VALLADARES;cezuleikaraposovalladares@educacao.rj.gov.br
33056340;BAIXADAS LITORANEAS;NITEROI;EE BENJAMIN CONSTANT;eebenjaminconstant@educacao.rj.gov.br
33056358;BAIXADAS LITORANEAS;NITEROI;CE CONSELHEIRO JOSINO;ceconselheirojosino@educacao.rj.gov.br
33056390;BAIXADAS LITORANEAS;NITEROI;EE DOUTOR MEMORIA;eedoutormemoria@educacao.rj.gov.br
33056404;BAIXADAS LITORANEAS;NITEROI;CE DUQUE DE CAXIAS;ceduquedecaxias@educacao.rj.gov.br
33056420;BAIXADAS LITORANEAS;NITEROI;EEEE ANNE SULLIVAN;eeeeannesullivan@educacao.rj.gov.br
33056439;BAIXADAS LITORANEAS;NITEROI;CE EMBAIXADOR RAUL FERNANDES;ceraulfernandes@educacao.rj.gov.br
33056471;BAIXADAS LITORANEAS;NITEROI;CE JOSE BONIFACIO;cejosebonifacio_rj@educacao.rj.gov.br
33056480;BAIXADAS LITORANEAS;NITEROI;CE LEOPOLDO FROES;celeopoldofroes@educacao.rj.gov.br
33056498;BAIXADAS LITORANEAS;NITEROI;CE MANUEL DE ABREU;cemanueldeabreu@educacao.rj.gov.br
33056501;BAIXADAS LITORANEAS;NITEROI;CE PROFESSORA MARIA PEREIRA DAS NEVES;cemariapereiraneves@educacao.rj.gov.br
33056510;BAIXADAS LITORANEAS;NITEROI;EE MENEZES VIEIRA;eemenezesvieira@educacao.rj.gov.br
33056560;BAIXADAS LITORANEAS;NITEROI;CE PINTO LIMA;cepintolima@educacao.rj.gov.br
33056579;BAIXADAS LITORANEAS;NITEROI;EEEE PROFESSOR ALVARO CAETANO DE OLIVEIRA;eeeepaco@educacao.rj.gov.br
33056595;BAIXADAS LITORANEAS;NITEROI;EE SAO DOMINGOS SAVIO;eesaodomingossavio@educacao.rj.gov.br
33057117;BAIXADAS LITORANEAS;NITEROI;IE PROFESSOR ISMAEL COUTINHO;ieprofismaelcoutinho@educacao.rj.gov.br
33057508;BAIXADAS LITORANEAS;NITEROI;LICEU NILO PECANHA;nilopecanha@educacao.rj.gov.br
33057702;BAIXADAS LITORANEAS;NITEROI;CE PROFESSORA ALCINA RODRIGUES LIMA;ceprofalcinarlima@educacao.rj.gov.br
33057737;BAIXADAS LITORANEAS;NITEROI;CE ALMIRANTE TAMANDARE;cealmirantetamandare@educacao.rj.gov.br
33057745;BAIXADAS LITORANEAS;NITEROI;CE DOUTOR SOUZA SOARES;cedrsouzasoares@educacao.rj.gov.br
33093687;BAIXADAS LITORANEAS;CABO FRIO;CIEP 357 JOSE DE DOME;ciep357@educacao.rj.gov.br
33093709;BAIXADAS LITORANEAS;CABO FRIO;CIEP 331 LYSIA BERNARDES;ciep331@educacao.rj.gov.br
33096805;BAIXADAS LITORANEAS;NITEROI;CIEP 449 GOVERNADOR LEONEL DE MOURA BRIZOLA BRASIL FRANCA;ciep449@educacao.rj.gov.br
33096929;BAIXADAS LITORANEAS;MARICA;CIEP 391 PROFESSOR ROBSON MENDONCA LOU;ciep391@educacao.rj.gov.br
33102414;BAIXADAS LITORANEAS;MARICA;CIEP 259 PROFESSORA MARIA DO AMPARO RANGEL DE SOUZA;ciep259@educacao.rj.gov.br
33102490;BAIXADAS LITORANEAS;NITEROI;CIEP 450 EMILIANO DI CAVALCANTI;ciep450@educacao.rj.gov.br
33102503;BAIXADAS LITORANEAS;NITEROI;CE DAVID CAPISTRANO;cedavidcapistrano@educacao.rj.gov.br
33102520;BAIXADAS LITORANEAS;NITEROI;CIEP 307 DJANIRA;ciep307@educacao.rj.gov.br
33104204;BAIXADAS LITORANEAS;SAQUAREMA;CIEP 258 ASTROGILDO PEREIRA;ciep258@educacao.rj.gov.br
33108579;BAIXADAS LITORANEAS;NITEROI;CIEP 448 RUY FRAZAO SOARES;ciep448@educacao.rj.gov.br
33172919;BAIXADAS LITORANEAS;NITEROI;CE MATEMATICO JOAQUIM GOMES DE SOUSA - INTER-CULTURAL BRASIL-CHINA;cematematicojoaquimgomesdesouza@educacao.rj.gov.br
33558221;BAIXADAS LITORANEAS;SAQUAREMA;CE ISMENIA DE BARROS BARROSO;ceismeniabarroso@educacao.rj.gov.br
33016836;CENTRO SUL;AREAL;CE MARIANO PROCOPIO;cemarianoprocopio@educacao.rj.gov.br
33017000;CENTRO SUL;COMENDADOR LEVY GASPARIAN;CE CORONEL ANTONIO PECANHA;cecelantoniopecanha@educacao.rj.gov.br
33017093;CENTRO SUL;PARAIBA DO SUL;CE MARIA ZULMIRA TORRES;cemariazulmiratorres@educacao.rj.gov.br
33017107;CENTRO SUL;PARAIBA DO SUL;CE MONSENHOR FRANCISCO;cemonsenhorfrancisco@educacao.rj.gov.br
33017492;CENTRO SUL;PARAIBA DO SUL;CE LIONS CLUBE DE PARAIBA DO SUL;celionsclubeparaibadosul@educacao.rj.gov.br
33017522;CENTRO SUL;PARAIBA DO SUL;CE BEZERRA DE MENEZES;cebezerrademenezes@educacao.rj.gov.br
33017646;CENTRO SUL;PARAIBA DO SUL;CE BARAO DE PALMEIRAS;cebaraodepalmeiras@educacao.rj.gov.br
33017786;CENTRO SUL;SAPUCAIA;CE MAURICIO DE ABREU;mabreu@educacao.rj.gov.br
33017930;CENTRO SUL;SAPUCAIA;CE REPUBLICA DO LIBANO;cerepublicadolibano@educacao.rj.gov.br
33018073;CENTRO SUL;SAPUCAIA;CE PAULINO FERNANDES;cepaulinofernandes@educacao.rj.gov.br
33018197;CENTRO SUL;SAPUCAIA;CE PROFESSORA MARIA APARECIDA BASTOS;cemariaaparecidabastos@educacao.rj.gov.br
33018286;CENTRO SUL;TRES RIOS;CIEP GINASIO PUBLICO 456 MARCO POLO;ciep456@educacao.rj.gov.br
33018332;CENTRO SUL;TRES RIOS;CE DOUTOR VALMIR PECANHA;cedrvalmirpecanha@educacao.rj.gov.br
33018340;CENTRO SUL;TRES RIOS;CE MOACYR PADILHA;cemoacyrpadilha@educacao.rj.gov.br
33018359;CENTRO SUL;TRES RIOS;CE PROFESSOR KOPKE;ceprofkopke@educacao.rj.gov.br
33018367;CENTRO SUL;TRES RIOS;CE ROBERTO COELHO PEDROSO;cerobertocoelhopedroso@educacao.rj.gov.br
33018405;CENTRO SUL;TRES RIOS;CE CONDESSA DO RIO NOVO;cecondessadorionovo@educacao.rj.gov.br
33018413;CENTRO SUL;TRES RIOS;CE LUTHER KING;celutherking@educacao.rj.gov.br
33018430;CENTRO SUL;TRES RIOS;CE URBANO CARLOS DE ALMEIDA;ceurbanocalmeida@educacao.rj.gov.br
33018650;CENTRO SUL;TRES RIOS;IE PROFESSOR JOEL MONNERAT;ieprofessorjoelmonnerat@educacao.rj.gov.br
33034273;CENTRO SUL;BARRA DO PIRAI;CIEP 287 ANGELINA TEIXEIRA NETTO SYM;ciep287@educacao.rj.gov.br
33034311;CENTRO SUL;BARRA DO PIRAI;CE BARAO DO RIO BONITO;cebaraoriobonito@educacao.rj.gov.br
33034320;CENTRO SUL;BARRA DO PIRAI;CE NILO PECANHA;ce-nilopecanha@educacao.rj.gov.br
33034443;CENTRO SUL;BARRA DO PIRAI;CE DOUTOR ALVARO ROCHA;eealvarorocha@educacao.rj.gov.br
33034486;CENTRO SUL;BARRA DO PIRAI;CE ISA FERNANDES;ceisafernandes@educacao.rj.gov.br
33034494;CENTRO SUL;BARRA DO PIRAI;CE JOAQUIM DE MACEDO;cejoaquimmacedo@educacao.rj.gov.br
33034508;CENTRO SUL;BARRA DO PIRAI;CE SENADOR PAULO FERNANDES;eepaulofernandes@educacao.rj.gov.br
33034516;CENTRO SUL;BARRA DO PIRAI;EE PADRE ANTONIO PINTO;eepadreantoniopinto@educacao.rj.gov.br
33034540;CENTRO SUL;BARRA DO PIRAI;CE PROFESSOR JOSE ANTONIO MAIA VINAGRE;cejoseantoniomaiavinagre@educacao.rj.gov.br
33034869;CENTRO SUL;BARRA DO PIRAI;CE PROFESSOR ADELINO TERRA;ceadelinoterra@educacao.rj.gov.br
33035059;CENTRO SUL;RIO DAS FLORES;CIEP 298 MANUEL DUARTE;ciep298@educacao.rj.gov.br
33035334;CENTRO SUL;RIO DAS FLORES;CE NEPHTALINA CARVALHO AVILA;cenephtalina@educacao.rj.gov.br
33035407;CENTRO SUL;VALENCA;CIA MONSENHOR TOMAS TEJERINA DE PRADO;ciamonsenhortomastdeprado@educacao.rj.gov.br
33035458;CENTRO SUL;VALENCA;CE JOSE FONSECA;cejosefonseca@educacao.rj.gov.br
33035466;CENTRO SUL;VALENCA;CE THEODORICO FONSECA;cetheodoricofonseca@educacao.rj.gov.br
33035628;CENTRO SUL;VALENCA;CE ALMIRANTE RODRIGUES SILVA;eealmiranterodriguessilva@educacao.rj.gov.br
33035644;CENTRO SUL;VALENCA;CE CORONEL BENJAMIN GUIMARAES;cecelbenjaminguimaraes@educacao.rj.gov.br
33035652;CENTRO SUL;VALENCA;CE DAURA SILVA BARBOSA;cedaurasilvabarbosa@educacao.rj.gov.br
33035679;CENTRO SUL;VALENCA;CE DOUTOR OSWALDO TERRA;ceoswaldoterra@educacao.rj.gov.br
33035962;CENTRO SUL;VALENCA;CE PADRE SEBASTIAO DA SILVA PEREIRA;cepadresebastiaodasilvapereira@educacao.rj.gov.br
33035970;CENTRO SUL;VALENCA;IE DEPUTADO LUIZ PINTO;iedeputadoluizpinto@educacao.rj.gov.br
33036004;CENTRO SUL;VALENCA;CE BARAO DE JUPARANA;cebaraodejuparana@educacao.rj.gov.br
33036071;CENTRO SUL;VALENCA;CE ALFREDO GOMES;cealfredogomes@educacao.rj.gov.br
33036209;CENTRO SUL;VALENCA;CE ARNOR SILVESTRE VIEIRA;cearnorsilvestrevieira@educacao.rj.gov.br
33036519;CENTRO SUL;VALENCA;CE DOUTOR GUILHERME MILWARD;cedoutorguilhermemilward@educacao.rj.gov.br
33038023;CENTRO SUL;ENGENHEIRO PAULO DE FRONTIN;CIEP 289 CECILIO BARBOSA DA PAIXAO;ciep289@educacao.rj.gov.br
33038040;CENTRO SUL;ENGENHEIRO PAULO DE FRONTIN;CE JOAO KOPKE;cejkopke@educacao.rj.gov.br
33038180;CENTRO SUL;ENGENHEIRO PAULO DE FRONTIN;CE SACRA FAMILIA DO TINGUA;cesacrafamiliadotingua@educacao.rj.gov.br
33038228;CENTRO SUL;MENDES;CE PROFESSOR ARAGAO GOMES;ceprofaragaogomes@educacao.rj.gov.br
33038260;CENTRO SUL;MENDES;CE DOUTOR JOAO NERY;cedoutorjoaonery@educacao.rj.gov.br
33038279;CENTRO SUL;MENDES;EE JAYME SICILIANO;eejaymesiciliano@educacao.rj.gov.br
33038473;CENTRO SUL;MIGUEL PEREIRA;CE DOUTOR ANTONIO FERNANDES;cedoutorantoniofernandes@educacao.rj.gov.br
33038589;CENTRO SUL;MIGUEL PEREIRA;CE VERA CRUZ;ceveracruz@educacao.rj.gov.br
33038724;CENTRO SUL;MIGUEL PEREIRA;CE CARMEM DE LUCA ANDREIOLO;cecarmemdelucaandreolo@educacao.rj.gov.br
33038791;CENTRO SUL;MIGUEL PEREIRA;CE ALVARO ALVIM;cealvaroalvim@educacao.rj.gov.br
33038872;CENTRO SUL;PARACAMBI;CIEP 500 ANTONIO BOTELHO;ciep500@educacao.rj.gov.br
33038880;CENTRO SUL;PARACAMBI;CIEP 152 GARRINCHA ALEGRIA DO POVO;ciep152@educacao.rj.gov.br
33038899;CENTRO SUL;PARACAMBI;CIEP 385 PASTOR AUGUSTINHO VALERIO DE SOUZA;ciep385@educacao.rj.gov.br
33038929;CENTRO SUL;PARACAMBI;CE PRESIDENTE RODRIGUES ALVES;cepresidenterodriguesalves@educacao.rj.gov.br
33039186;CENTRO SUL;PATY DO ALFERES;CE EDMUNDO PERALTA BERNARDES;ceedmundoperaltabernardes@educacao.rj.gov.br
33039216;CENTRO SUL;PATY DO ALFERES;CE LIDDY MIGNONE;celiddymignone@educacao.rj.gov.br
33039402;CENTRO SUL;PATY DO ALFERES;CE RIBEIRO DE AVELAR;ceribeirodeavellar@educacao.rj.gov.br
33039569;CENTRO SUL;VASSOURAS;CE MINISTRO RAUL FERNANDES;cemrf@educacao.rj.gov.br
33039585;CENTRO SUL;VASSOURAS;CE ANTONIO DE JESUS GOMES;ceantoniodejesusgomes@educacao.rj.gov.br
33039593;CENTRO SUL;VASSOURAS;CE CENTENARIO;cecentenario@educacao.rj.gov.br
33044880;CENTRO SUL;ITAGUAI;CIEP 498 IRMA DULCE;ciep498@educacao.rj.gov.br
33044899;CENTRO SUL;ITAGUAI;CIEP 048 DJALMA MARANHAO;ciep048@educacao.rj.gov.br
33044929;CENTRO SUL;ITAGUAI;CE CLODOMIRO VASCONCELOS;ceclodomirovasconcelos@educacao.rj.gov.br
33044953;CENTRO SUL;ITAGUAI;CE PROFESSOR NEY CIDADE PALMEIRO;ceprofneycidadepalmeiro@educacao.rj.gov.br
33044961;CENTRO SUL;ITAGUAI;CE PROFESSORA ELIANA DE ALMEIDA SANTOS;ceelianadealmeidasantos@educacao.rj.gov.br
33045062;CENTRO SUL;ITAGUAI;CE JOSE MARIA DE BRITO;cejosemariadebrito@educacao.rj.gov.br
33045070;CENTRO SUL;ITAGUAI;CE PIRANEMA;cepiranema@educacao.rj.gov.br
33045089;CENTRO SUL;ITAGUAI;CE SANDRA ROLDAN BARBOZA;cesandraroldanbarboza@educacao.rj.gov.br
33045291;CENTRO SUL;ITAGUAI;CIEP 368 JOAO CONCEICAO CANUTO;ciep368@educacao.rj.gov.br
33045437;CENTRO SUL;SEROPEDICA;CIEP 155 MARIA JOAQUINA DE OLIVEIRA;ciep155@educacao.rj.gov.br
33045445;CENTRO SUL;SEROPEDICA;CIEP 156 DOUTOR ALBERTO SABIN;ciep156@educacao.rj.gov.br
33045470;CENTRO SUL;SEROPEDICA;CE BARAO DE TEFE;cebaraodetefe@educacao.rj.gov.br
33045496;CENTRO SUL;SEROPEDICA;CE PRESIDENTE DUTRA;cepresidentedutra@educacao.rj.gov.br
33045542;CENTRO SUL;SEROPEDICA;CE ALICE DE SOUZA BRUNO;ceasbruno@educacao.rj.gov.br
33045550;CENTRO SUL;SEROPEDICA;CE ALVARINA DE CARVALHO JANNOTTI;cealvarinacarvalhojanoti@educacao.rj.gov.br
33045569;CENTRO SUL;SEROPEDICA;CE PROFESSOR ROBERTO LYRA;ceprofrobertolyra@educacao.rj.gov.br
33045577;CENTRO SUL;SEROPEDICA;CE PROFESSOR WALDEMAR RAYTHE;ceprofessorwaldemarraythe@educacao.rj.gov.br
33093601;CENTRO SUL;VASSOURAS;CIEP 297 PADRE SALESIO SCHIMID;ciep297@educacao.rj.gov.br
33094098;CENTRO SUL;MIGUEL PEREIRA;CIEP 494 ALEXANDRE CARVALHO;ciep494@educacao.rj.gov.br
33094420;CENTRO SUL;BARRA DO PIRAI;CIEP 286 MURILO PORTUGAL;ciep286@educacao.rj.gov.br
33097135;CENTRO SUL;ITAGUAI;CIEP 329 JUAN MARTINHO CARRASCO;ciep329@educacao.rj.gov.br
33097224;CENTRO SUL;VASSOURAS;IE THIAGO COSTA;iethiagocosta@educacao.rj.gov.br
33097950;CENTRO SUL;SAPUCAIA;CIEP 285 LUIZ JOSE DAFLON GOMES;ciep285@educacao.rj.gov.br
33098573;CENTRO SUL;BARRA DO PIRAI;CIEP 310 PROFESSORA ALICE AIEX;ciep310@educacao.rj.gov.br
33103771;CENTRO SUL;PATY DO ALFERES;CIEP 278 JOAQUIM OSORIO DUQUE ESTRADA;ciep278@educacao.rj.gov.br
33137846;CENTRO SUL;ITAGUAI;CE PROFESSORA MARIA IZABEL DO COUTO BRANDAO;cemariaizabeldocoutobrandao@educacao.rj.gov.br
33166382;CENTRO SUL;SEROPEDICA;CE BANANAL ( CENSO 2012 - PARALISADA );cebananal@educacao.rj.gov.br
33029342;MEDIO PARAÖBA;BARRA MANSA;CE BALDOMERO BARBARA;cebaldomerobarbara@educacao.rj.gov.br
33029369;MEDIO PARAÖBA;BARRA MANSA;CE BARAO DE AIURUOCA;cebaraoaiuruoca@educacao.rj.gov.br
33029377;MEDIO PARAÖBA;BARRA MANSA;CE BOA VISTA;ceboavista@educacao.rj.gov.br
33029385;MEDIO PARAÖBA;BARRA MANSA;CE COMENDADOR PEREIRA IGNACIO;cecomendadorpereiraignacio@educacao.rj.gov.br
33029407;MEDIO PARAÖBA;BARRA MANSA;CE IRACEMA LEITE NADER;ceiracemaleitenader@educacao.rj.gov.br
33029660;MEDIO PARAÖBA;BARRA MANSA;CE JAYME SILVESTRE CAMARGO;cejaymesilvestrecamargo@educacao.rj.gov.br
33029679;MEDIO PARAÖBA;BARRA MANSA;CE LUIZ GONZAGA DE MATTOS;celuizgonzagademattos@educacao.rj.gov.br
33029717;MEDIO PARAÖBA;BARRA MANSA;CE SAO PEDRO;cesaopedro@educacao.rj.gov.br
33030170;MEDIO PARAÖBA;BARRA MANSA;CE VILA MARIA;cevilamaria@educacao.rj.gov.br
33030189;MEDIO PARAÖBA;BARRA MANSA;CE ROSELANDIA;ceroselandia@educacao.rj.gov.br
33030286;MEDIO PARAÖBA;BARRA MANSA;CE MARECHAL FLORIANO PEIXOTO;cemalflorianopeixoto@educacao.rj.gov.br
33030359;MEDIO PARAÖBA;BARRA MANSA;CE NOSSA SENHORA DO AMPARO;censdoamparo@educacao.rj.gov.br
33030456;MEDIO PARAÖBA;ITATIAIA;CIEP 488 EZEQUIEL FREIRE;ciep488@educacao.rj.gov.br
33030626;MEDIO PARAÖBA;PIRAI;CE AFFONSINA MAZZILLO TEIXEIRA CAMPOS;ceamtcampos@educacao.rj.gov.br
33030901;MEDIO PARAÖBA;PIRAI;CE OCTAVIO TEIXEIRA CAMPOS;ceoctavioteixeiracampos@educacao.rj.gov.br
33030987;MEDIO PARAÖBA;PINHEIRAL;CIEP 291 DOM MARTINHO SCHLUDE;ciep291@educacao.rj.gov.br
33031142;MEDIO PARAÖBA;PIRAI;CE CORONEL CAMISAO;cecoronelcamisao@educacao.rj.gov.br
33031185;MEDIO PARAÖBA;QUATIS;CE AMERICO PIMENTA;ceamericopimenta@educacao.rj.gov.br
33031380;MEDIO PARAÖBA;RESENDE;CE ANTONINA RAMOS FREIRE;ceantoninaramosfreire@educacao.rj.gov.br
33031401;MEDIO PARAÖBA;RESENDE;CE PEDRO BRAILE NETO;cepedrobraileneto@educacao.rj.gov.br
33031428;MEDIO PARAÖBA;RESENDE;CE MARECHAL SOUZA DANTAS;cemalsouzadantas@educacao.rj.gov.br
33031479;MEDIO PARAÖBA;RESENDE;CE DOUTOR JOAO MAIA;cedrjoaomaia@educacao.rj.gov.br
